id_hopital,nom,ville,latitude,longitude,capacite_totale,lits_occuppees,taux_saturation,niveau_urgence,specialite_principale,temps_moyen_prise_en_charge_min,timestamp
101,CHU Ibn Rochd,Casablanca,33.585,-7.615,120,56,0.4667,niveau_1,Urgences,37,2025-12-10 18:32:38+00:00
102,Hôpital Cheikh Khalifa,Casablanca,33.56,-7.63,90,43,0.4778,niveau_2,Traumatologie,32,2025-12-10 18:32:38+00:00
103,Hôpital Moulay Youssef,Casablanca,33.59,-7.6,70,52,0.7429,niveau_1,Pédiatrie,42,2025-12-10 18:32:38+00:00
201,CHU Ibn Sina,Rabat,33.98,-6.83,100,37,0.37,niveau_3,Pédiatrie,25,2025-12-10 18:32:38+00:00
202,Hôpital Militaire,Rabat,33.99,-6.84,85,52,0.6118,niveau_3,Traumatologie,38,2025-12-10 18:32:38+00:00
203,Hôpital Cheikh Zaid,Rabat,33.97,-6.85,75,41,0.5467,niveau_2,Traumatologie,20,2025-12-10 18:32:38+00:00
301,CHU Mohammed VI,Marrakech,31.65,-8.02,100,32,0.32,niveau_3,Traumatologie,49,2025-12-10 18:32:38+00:00
302,Hôpital Ibn Tofail,Marrakech,31.64,-8.01,70,36,0.5143,niveau_3,Urgences,53,2025-12-10 18:32:38+00:00
401,CHU Tanger Mohammed VI,Tanger,35.76,-5.8,90,41,0.4556,niveau_3,Pédiatrie,25,2025-12-10 18:32:38+00:00
402,Hôpital Duc de Tovar,Tanger,35.78,-5.81,60,34,0.5667,niveau_3,Pédiatrie,43,2025-12-10 18:32:38+00:00
501,CHU Hassan II,Fès,34.02,-4.98,100,32,0.32,niveau_2,Cardiologie,45,2025-12-10 18:32:38+00:00
502,Hôpital Al Ghassani,Fès,34.03,-4.99,65,33,0.5077,niveau_3,Cardiologie,43,2025-12-10 18:32:38+00:00
601,CHU Agadir,Agadir,30.42,-9.6,90,38,0.4222,niveau_3,Neurologie,31,2025-12-10 18:32:38+00:00
602,Hôpital Hassan II,Agadir,30.41,-9.58,70,22,0.3143,niveau_3,Pédiatrie,29,2025-12-10 18:32:38+00:00
701,CHU Mohammed VI Oujda,Oujda,34.68,-1.91,85,46,0.5412,niveau_2,Urgences,31,2025-12-10 18:32:38+00:00
702,Hôpital Al Farabi,Oujda,34.67,-1.92,60,42,0.7,niveau_3,Cardiologie,51,2025-12-10 18:32:38+00:00
801,Hôpital Moulay Hassan,Laayoune,27.15,-13.2,70,34,0.4857,niveau_3,Neurologie,17,2025-12-10 18:32:38+00:00
802,Hôpital Militaire 3e,Laayoune,27.16,-13.19,60,19,0.3167,niveau_3,Urgences,23,2025-12-10 18:32:38+00:00
101,CHU Ibn Rochd,Casablanca,33.585,-7.615,120,59,0.4917,niveau_1,Urgences,37,2025-12-10 18:32:43+00:00
102,Hôpital Cheikh Khalifa,Casablanca,33.56,-7.63,90,43,0.4778,niveau_2,Traumatologie,32,2025-12-10 18:32:43+00:00
103,Hôpital Moulay Youssef,Casablanca,33.59,-7.6,70,54,0.7714,niveau_1,Pédiatrie,42,2025-12-10 18:32:43+00:00
201,CHU Ibn Sina,Rabat,33.98,-6.83,100,38,0.38,niveau_3,Pédiatrie,25,2025-12-10 18:32:43+00:00
202,Hôpital Militaire,Rabat,33.99,-6.84,85,52,0.6118,niveau_3,Traumatologie,38,2025-12-10 18:32:43+00:00
203,Hôpital Cheikh Zaid,Rabat,33.97,-6.85,75,43,0.5733,niveau_2,Traumatologie,20,2025-12-10 18:32:43+00:00
301,CHU Mohammed VI,Marrakech,31.65,-8.02,100,31,0.31,niveau_3,Traumatologie,49,2025-12-10 18:32:43+00:00
302,Hôpital Ibn Tofail,Marrakech,31.64,-8.01,70,37,0.5286,niveau_3,Urgences,53,2025-12-10 18:32:43+00:00
401,CHU Tanger Mohammed VI,Tanger,35.76,-5.8,90,43,0.4778,niveau_3,Pédiatrie,25,2025-12-10 18:32:43+00:00
402,Hôpital Duc de Tovar,Tanger,35.78,-5.81,60,36,0.6,niveau_3,Pédiatrie,43,2025-12-10 18:32:43+00:00
501,CHU Hassan II,Fès,34.02,-4.98,100,34,0.34,niveau_2,Cardiologie,45,2025-12-10 18:32:43+00:00
502,Hôpital Al Ghassani,Fès,34.03,-4.99,65,35,0.5385,niveau_3,Cardiologie,43,2025-12-10 18:32:43+00:00
601,CHU Agadir,Agadir,30.42,-9.6,90,41,0.4556,niveau_3,Neurologie,31,2025-12-10 18:32:43+00:00
602,Hôpital Hassan II,Agadir,30.41,-9.58,70,23,0.3286,niveau_3,Pédiatrie,29,2025-12-10 18:32:43+00:00
701,CHU Mohammed VI Oujda,Oujda,34.68,-1.91,85,48,0.5647,niveau_2,Urgences,31,2025-12-10 18:32:43+00:00
702,Hôpital Al Farabi,Oujda,34.67,-1.92,60,42,0.7,niveau_3,Cardiologie,51,2025-12-10 18:32:43+00:00
801,Hôpital Moulay Hassan,Laayoune,27.15,-13.2,70,32,0.4571,niveau_3,Neurologie,17,2025-12-10 18:32:43+00:00
802,Hôpital Militaire 3e,Laayoune,27.16,-13.19,60,17,0.2833,niveau_3,Urgences,23,2025-12-10 18:32:43+00:00
